epoch,loss_t,loss_e,acc_t,acc_e
1,[0.12],0.2899999916553497,[1.],0.9200000166893004
2,[0.08],0.14000000059604645,[0.96],0.959999978542328
3,[0.03],0.10000000149011612,[1.],0.9700000286102296
6,[0.01],0.07999999821186066,[1.],0.9800000190734863
